point_id;Original City Name;City Name;Fragment of City;Coordinates;District in MAGP;Wiki;Comment
24a;Konary;;;50.679722,21.376944;Sandomierz;https://pl.wikipedia.org/wiki/Konary_(powiat_sandomierski);
26a;Ruda;;;50.959167,19.452222;Radomsko;https://pl.wikipedia.org/wiki/Ruda_(gmina_Gidle);
27a;Dankowice;;;50.942222,18.710556;Kłobuck;https://pl.wikipedia.org/wiki/Dankowice_Pierwsze;
33a;Piekło;;;51.127778,20.410833;Końskie;https://pl.wikipedia.org/wiki/Piek%C5%82o_(wojew%C3%B3dztwo_%C5%9Bwi%C4%99tokrzyskie);
35a;Rudy;;;51.415556,22.033611;Puławy;https://pl.wikipedia.org/wiki/Rudy_(wojew%C3%B3dztwo_lubelskie);
35b;Klementowice;;;51.355278,22.128611;Puławy;https://pl.wikipedia.org/wiki/Klementowice;
35c;Gołąb;;;51.4875,21.876111;Puławy;https://pl.wikipedia.org/wiki/Go%C5%82%C4%85b_(powiat_pu%C5%82awski);
36a;Spiczyn;;;51.341667,22.753333;Lubartów;https://pl.wikipedia.org/wiki/Spiczyn;
36b;Strzeszkowice;;;51.155,22.404167;Lublin;https://pl.wikipedia.org/wiki/Strzeszkowice_Du%C5%BCe;
37a;Włodawa;;;51.544722,23.547778;Włodawa;https://pl.wikipedia.org/wiki/W%C5%82odawa;
37b;Wereszce Małe;;;51.121667,23.327778;Chełm;https://pl.wikipedia.org/wiki/Wereszcze_Ma%C5%82e;
39a;punkt skasowany;;;;;;
39b;Derewiczna;;;51.785556,22.918056;Radzyń Podlaski;https://pl.wikipedia.org/wiki/Derewiczna;
40a;punkt skasowany;;;;;;
40b;Stężyca;;;51.580278,21.776667;Garwolin;https://pl.wikipedia.org/wiki/St%C4%99%C5%BCyca_(wojew%C3%B3dztwo_lubelskie);
40c;Stanisławice;;;51.572778,21.477222;Kozienice;https://pl.wikipedia.org/wiki/Stanis%C5%82awice_(wojew%C3%B3dztwo_mazowieckie);
41a;Grabów nad Pilicą;;;51.725556,21.225833;Kozienice;https://pl.wikipedia.org/wiki/Grab%C3%B3w_nad_Pilic%C4%85;
42a;Janków;;;51.651389,19.836944;Brzeziny;https://pl.wikipedia.org/wiki/Jank%C3%B3w_(powiat_tomaszowski);
43a;Domaniewek;;;51.9425,19.080278;Łęczyca;https://pl.wikipedia.org/wiki/Domaniewek_(wojew%C3%B3dztwo_%C5%82%C3%B3dzkie);
44a;Grabowiec;;;51.605278,18.849444;Sieradz;https://pl.wikipedia.org/wiki/Grabowiec_(powiat_sieradzki);
