Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
69;Sikorzyno;;;54.193889, 18.022222;https://pl.wikipedia.org/wiki/Sikorzyno;;a;;;;;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
70;Skorzewo;;;54.167222, 17.974167;https://pl.wikipedia.org/wiki/Skorzewo;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;1;1;;;1;bbbbb;bbbbb;bbbbb
71;Smołdzino;;;54.356389, 18.300278;https://pl.wikipedia.org/wiki/Smo%C5%82dzino_(powiat_kartuski);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
72;Mezowo;;;54.313056, 18.240833;https://pl.wikipedia.org/wiki/Mezowo;;;1;;;1;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
72a;Dzierzążno;Dzierżążno;;54.316111, 18.266944;https://pl.wikipedia.org/wiki/Dzier%C5%BC%C4%85%C5%BCno_(powiat_kartuski);;;1;;;1;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
73;Grabówko;;;54.146667, 18.169167;https://pl.wikipedia.org/wiki/Grab%C3%B3wko_(powiat_ko%C5%9Bcierski);;;;;;;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
75;Hopowo;;;54.255278, 18.235;https://pl.wikipedia.org/wiki/Hopowo;;;1;;;;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
76;Rębiechowo;;;54.379722, 18.429444;https://pl.wikipedia.org/wiki/R%C4%99biechowo_(powiat_kartuski);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
77;Leźno;;;54.345833, 18.434167;https://pl.wikipedia.org/wiki/Le%C5%BAno;;a;;;a;;;1;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
78;Skrzeszowo;;;54.285, 18.351111;https://pl.wikipedia.org/wiki/Skrzeszewo_(gmina_%C5%BBukowo);;;1;;;1;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
85;Trąbki Wielkie;;;54.171111, 18.537778;https://pl.wikipedia.org/wiki/Tr%C4%85bki_Wielkie_(wie%C5%9B);;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;ccccc;bbbbb;bbbbb
92;Jamno;;;54.215833, 17.631389;https://pl.wikipedia.org/wiki/Jamno_(wojew%C3%B3dztwo_pomorskie);;a;;;a;;;;;1;1;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
94;Sylczno;;;54.166944, 17.735278;https://pl.wikipedia.org/wiki/Sylczno;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
95;Gostomie;;;54.181944, 17.870833;https://pl.wikipedia.org/wiki/Gostomie;;a;;;a;;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
97;Piaszno;;;54.094167, 17.365278;https://pl.wikipedia.org/wiki/Piaszno_(wojew%C3%B3dztwo_pomorskie);;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
100;Rekowo;;;54.083889, 17.440278;https://pl.wikipedia.org/wiki/Rekowo_(powiat_bytowski);;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
101;Studzienice;;;54.092222, 17.575556;https://pl.wikipedia.org/wiki/Studzienice_(powiat_bytowski);;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
102;Skwierawy;;;54.113889, 17.7025;https://pl.wikipedia.org/wiki/Skwierawy;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
104;Tuszkowy;;;54.072778, 17.728333;https://pl.wikipedia.org/wiki/Tuszkowy;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
105;Lipuska Huta;;;54.075556, 17.801667;https://pl.wikipedia.org/wiki/Lipuska_Huta;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
106;Korne;;;54.134444, 17.858333;https://pl.wikipedia.org/wiki/Korne_(powiat_ko%C5%9Bcierski);;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
107;Sycowa Huta;;;54.089167, 17.909444;https://pl.wikipedia.org/wiki/Sycowa_Huta;;;1;;;;;;;;1;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
109;Juszki;;;54.051667, 17.971667;https://pl.wikipedia.org/wiki/Juszki_(wojew%C3%B3dztwo_pomorskie);;;1;;;1;;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
